run,max_overlap,max_outside
2_circle_in_square.json,8.974154752650065e-12,6.357026016701184e-12
4_ngon3_in_tan.json,5.146105763742526e-12,4.564293387687712e-12
6_square_in_tan.json,7.855049943827908e-12,3.109401625067676e-12
29_ngon3_in_tan.json,1.2470824373167488e-10,1.4633022571430843e-10
4_tan_in_tan.json,0.0,4.666100839045839e-12
10_tan_in_L.json,0.0,7.778999666641084e-12
3_square_in_square.json,9.054201832725539e-12,3.899214284786012e-12
8_L_in_square.json,7.843947713581656e-12,7.31847915602657e-12
10_domino_in_square.json,5.94309046419994e-11,5.7029714284340116e-11
2_tan_in_L.json,0.0,0.0
6_circle_in_tan.json,6.134204255658915e-12,9.506728737562753e-12
10_square_in_square.json,1.4574563778069205e-11,9.718337246056308e-12
3_domino_in_square.json,1.851852005074761e-13,7.097211707218776e-12
11_circle_in_square.json,9.3975938142421e-12,6.412870234839829e-12
3_L_in_square.json,4.004796494427865e-12,9.000133971426294e-12
30_ngon3_in_tan.json,3.242239809964076e-11,2.75214850908867e-11
6_tan_in_L.json,7.274205427127654e-12,9.230116670977395e-12
11_tan_in_square.json,1.78269621287086e-11,1.7598478230240744e-11
2_tan_in_square.json,0.0,0.0
18_ngon3_in_tan.json,9.822809232673535e-12,8.740952406327551e-12
12_tan_in_square.json,8.012285279690445e-12,5.898920241165229e-12
5_ngon3_in_tan.json,7.192690887336539e-12,7.66364749438253e-12
7_L_in_square.json,5.964562177496191e-12,0.0
28_ngon3_in_tan.json,8.359313241612654e-12,9.140910250948764e-12
12_domino_in_square.json,9.714229420865195e-11,1.0742795542029171e-10
9_domino_in_square.json,2.334694243488755e-10,2.2435497903927626e-10
5_tan_in_L.json,2.999600567932248e-12,8.788858529840127e-12
5_circle_in_tan.json,5.228706356774637e-12,9.092504527075107e-12
8_circle_in_tan.json,6.87547796474064e-11,4.304612222227888e-11
9_square_in_square.json,5.507561073869738e-11,5.177891448937544e-11
3_tan_in_tan.json,0.0,7.575051697017443e-12
5_square_in_tan.json,5.3753668183276204e-12,5.1919579746595446e-12
8_square_in_tan.json,9.952150215042366e-12,6.4058203186334595e-12
12_square_in_square.json,8.473666213149045e-12,9.36228872205902e-12
8_circle_in_square.json,6.356470905188871e-12,9.17999010141557e-12
19_ngon3_in_tan.json,1.237165925260797e-11,7.60053131543259e-12
