restart_rank,final_s
0,1.9999910759692758
1,1.9999934202436584
2,1.999993600079628
3,1.999994308178623
4,1.9999955677330314
5,1.999995626704835
6,1.999995720866963
7,1.999996761299069
8,1.9999968101014372
9,1.9999970255505148
10,1.9999973624638536
11,1.9999974448317028
12,1.9999993202640798
13,1.9999999582205563
14,2.0000000765013897
15,2.000000382137734
16,2.0000006062750866
17,2.000000616652276
18,2.0000007692910806
19,2.0000011566549056
20,2.000001495700084
21,2.00000176777169
22,2.000002625895637
23,2.0000042423844664
24,2.0000043923173543
25,2.000004830619739
26,2.0000051118925954
27,2.000006151312083
28,2.0000069186840967
29,2.0000080538048
30,2.0000083332647276
31,2.000008601397798
32,2.000008982299936
33,2.121357499276005
34,2.1214491788585454
35,2.1214648575729624
36,2.1214907739912223
37,2.121528075563572
38,2.121530166311566
39,2.121536806969369
40,2.1216931849956073
41,2.1217069097743013
42,2.121802924690498
43,2.121816597800734
44,2.1218819266521454
45,2.121914618990401
46,2.1220098338876254
47,2.1220653389793
48,2.1220813310572395
49,2.1220986069871266
50,2.1222997031593422
51,2.12230016422159
52,2.122410547745209
53,2.122432286259508
54,2.122464212868281
55,2.122468137298444
56,2.122519331844106
57,2.1225602357739897
58,2.1226508058192914
59,2.1226685309813638
60,2.122693705589826
61,2.1227001361901046
62,2.1229637904299516
63,2.2071976529678983
64,2.2072239002164262
65,2.207301692520115
66,2.207508657957002
67,2.207536995575515
68,2.2075685855744767
69,2.207848566089483
70,2.2080692950863745
71,2.2081041605476828
72,2.208143174641537
73,2.2081437897417713
74,2.2082569617179915
75,2.2083771940106445
76,2.20846754884948
77,2.2086925537012188
78,2.208718877612724
79,2.2087573678530577
80,2.2087843083066363
81,2.2088136327301022
82,2.2088480359913185
83,2.2090596408664362
84,2.2093934278082146
85,2.2095187473859834
86,2.209895961605693
87,2.2099651069439123
88,2.2100001194732415
89,2.2105648859610425
90,2.2111915873163905
91,2.309058214822008
92,2.309320470052471
93,2.3094365983358722
94,2.3096834975175766
95,2.3098040159691573
96,2.309994803304119
97,2.310679890184368
98,2.310714761799351
99,2.3108394470908236
100,2.3111028000313367
101,2.3121777103942205
102,2.313761489246701
103,2.3141421725216493
104,2.321395924084226
105,2.321645527022446
106,2.321649071960023
107,2.32292700863336
108,2.3234635001333928
109,2.340084767633242
110,2.3400997357905386
111,2.340116209722453
112,2.3402372179323003
113,2.340343722792974
114,2.3405441868757104
115,2.3412427687854755
116,2.34126443307648
117,2.341591526948711
118,2.342199854131559
119,2.343132830413251
120,2.3435613209953163
121,2.343583745934332
122,2.3438270669868024
123,2.344015737485371
124,2.345052947555992
125,2.3573033000548196
126,2.357341990643562
127,2.3575258481349413
128,2.3576088814878324
129,2.357663581490386
130,2.3581973753500884
131,2.3593822412454006
132,2.3595368561709904
133,2.359635518156477
134,2.35974131797367
135,2.359793895850385
136,2.3598862074031355
137,2.3603124835381113
138,2.360695355107497
139,2.3615128535586596
140,2.363341931484202
141,2.3699071765892383
142,2.3720415116496762
143,2.380244528755159
144,2.380707506296238
145,2.381026147436733
146,2.381385833571924
147,2.3814522155034124
148,2.3814705249833708
149,2.381474465328562
150,2.381753285466804
151,2.382014679458413
152,2.3821115666400843
153,2.382136757530382
154,2.3822435857410813
155,2.3823779824872173
156,2.382797365413701
157,2.3828868404967367
158,2.3830428319597226
159,2.38347961075203
160,2.3837513281423215
161,2.384053065337109
162,2.3842014069852118
163,2.386051982669337
164,2.3862529057842106
165,2.3995290689670523
166,2.4006802610034934
167,2.4010772965297007
168,2.4057624226984227
169,2.406296092779346
170,2.4063704330406006
171,2.408391094095194
172,2.4094067792996006
173,2.411252732082731
174,2.411376060854959
175,2.412746175829583
176,2.4142707461494592
177,2.4143318272289362
178,2.4152628748431173
179,2.415380864439673
180,2.4154803822977176
181,2.415650759898503
182,2.4158523744588547
183,2.415967651863623
184,2.416504949426285
185,2.416571242432367
186,2.4166920891403127
187,2.4168594682723143
188,2.4170000857312877
189,2.4183824753462475
190,2.4184293500313387
191,2.4187353097265314
192,2.4204327201414917
193,2.422909594481944
194,2.423965996069213
195,2.441450704102498
196,2.4432158967327737
197,2.453109993242172
198,2.5298042838424943
199,2.5714123186441395
